	descripteur1	descripteur2	descripteur3	descripteur4	descripteur8	descripteur9	descripteur10	descripteur11	descripteur12	descripteur13	descripteur15	descripteur17	descripteur18	descripteur19	descripteur20	descripteur22	descripteur23	descripteur25	descripteur27	descripteur28	descripteur30	descripteur31	descripteur32	descripteur34	descripteur36	descripteur37	descripteur41	descripteur42	descripteur43	descripteur44	descripteur46	descripteur47	descripteur49	descripteur50	descripteur52	descripteur53	descripteur54	descripteur56	descripteur57	descripteur58	descripteur59	descripteur60	descripteur61	descripteur65	descripteur66	descripteur67	descripteur69	descripteur71	descripteur72	descripteur73
molecule220	-202.601508	399.823682	-963.089536	-7.88451704	1.05910442	-0.02836147	-0.02836147	1149.852	2699.221	4	0.016001	80.849228	10.355781	4.146753	86	10.48156	12.266065	9.201286	7.372558	5.915236	2.121928	0.499521	268.078186	1311.671	3.359988	308.0104275	621.0362669	82.94104555	51.05349933	65.55831973	0.6962766	0.6734127	9.36736097	7.82756102	1.64106956	335.6033153	116.410827	-635.754449	3029.191	68.131588	4.315229	0.122837	-0.128929	64.567113	-352.620376	-39.66318	0.127973	3.235993	167.263529	387.385167
molecule221	-152.812692	267.477389	-635.9932507	-5.14120617	1.25087072	-0.02781762	-0.02781762	854.4070739	1775.682	3	0.066901	52.119625	6.239706	3.692843	54	6.31746	8.177838	5.913592	4.680075	3.765608	1.775859	0.495363	147.206711	468.073059	1.445833	202.2163172	309.9458817	61.73869341	42.93613596	41.73854905	0.70705128	0.7	10.20873319	5.94840034	3.3829291	217.507169	78.739112	-289.862293	1566.395	57.019376	3.000073	0.134005	-0.107106	33.503522	-123.336515	-19.391633	0.192541	3.630879	126.900091	298.600284
molecule223	-103.313445	195.858099	-442.8600994	-3.59692367	1.05247171	-0.0204444	-0.0204444	666.8206909	1250.557	3	-0.2645	36.114403	4.667106	2.779469	34	4.730175	7.880001	4.125897	3.194702	2.356291	1.836592	0.612197	75.058647	221.70105	1.093055	142.2647006	290.849128	45.56085121	25.21338334	42.81707643	0.68103448	0.68401254	6.3913217	5.79257075	2.5028947	151.6584719	68.490351	-185.958152	950.399013	47.626207	2.184049	0.136071	-0.113247	23.972368	-65.087377	-13.873652	0.250635	5.854305	119.226437	230.784449
molecule227	-128.467356	154.846039	-438.3405577	-2.66842973	1.66534709	-0.02950385	-0.02950385	541.423902	996.7092438	4	-0.906	26.459194	2.604666	3.42835	32	2.759911	2.458688	3.553418	2.218622	1.604625	2.405639	0.80188	75.058647	143.638382	0	110.8718882	113.9378812	34.70322366	26.47598108	31.25866574	0.68452381	0.70034843	7.02670719	5.50442105	2.55728998	118.9161587	101.941396	-278.391759	797.953873	45.247511	1.778265	0.154865	-0.193753	29.784582	-81.338714	-16.539778	0.256948	4.570149	202.297672	89.875898
molecule228	-65.776895	273.782913	-935.5126863	-5.34366745	5.43837142	-0.08572697	-0.08572697	896.2111601	2037.403	1	-0.7611	29.079098	2.258446	2.957053	28	2.284555	5.92	3.06066	2.474096	2.737538	2.128085	0.823256	64	108.939972	1.114583	234.7434894	280.5588725	62.97669025	39.690914	51.54832095	0.66666667	0.67647059	8.95897976	6.64544095	7.70148574	248.7311732	51.97265	-95.775199	711.392781	45.252823	2.076838	0.152664	-0.081281	15.405761	-28.389737	-7.141777	0.319677	10.823669	134.32806	162.092486
molecule231	-204.369423	256.694406	-727.6110688	-4.67879601	2.49585454	-0.03224977	-0.03224977	892.1949953	1709.11	0	0.8465	47.917213	6.783426	3.505997	56	7.344776	7.095656	6.595754	4.426398	2.502271	2.556657	0.639164	147.206711	628.833374	-0.281401	190.0449611	425.3067843	61.04336461	27.66895431	57.11416031	0.7408949	0.64603313	6.19165205	6.03155924	2.90823095	201.9744003	125.424022	-440.526792	1581.593	47.903806	2.534059	0.106384	-0.127018	56.477447	-198.365736	-25.754619	0.164593	1.587196	130.979125	319.312978
molecule233	-157.655147	165.336928	-496.3389719	-2.83729466	1.29594972	-0.02027794	-0.02027794	608.3422713	1084.68	0	-0.2451	28.525999	3.827039	3.173663	34	4.169896	3.810965	4.201907	2.3401	1.329042	2.281036	0.68666	75.058647	212.920319	-0.3125	120.1581099	244.7887162	39.56311787	26.76552672	34.17418158	0.66602317	0.66641337	7.29912515	5.50573937	2.98817129	125.0513057	118.3323	-269.998808	746.620033	33.11686	1.456532	0.101204	-0.150616	38.72189	-88.351737	-16.127861	0.246439	3.48546	105.772937	221.457165
molecule235	-176.281547	145.095593	-531.1017194	-2.35414943	2.02237539	-0.03522163	-0.03522163	537.0418047	957.4449221	2	0.1656	24.333797	2.692592	3.522524	36	3.055904	3.507201	4.036581	2.016693	1.298844	2.419382	0.699358	86.43856	203.540421	-0.949074	104.6930385	124.5252777	37.43432118	22.1039645	29.26422208	0.68100358	0.61272142	6.19915041	5.23586696	3.6255501	109.4250813	179.930993	-472.372836	755.998044	34.798911	0.984925	0.120844	-0.291032	51.81407	-136.027479	-24.133754	0.227555	6.241699	252.117924	35.848421
molecule236	-132.360494	190.790509	-610.6425504	-3.6156925	1.34241113	-0.02581016	-0.02581016	685.9848466	1324.562	0	0.5169	41.408512	2.189631	2.835485	58	2.984717	1.670872	5.519744	3.463996	2.622118	3.022055	0.755514	172.97374	362.746582	0	146.2135422	140.3377724	48.9037539	28.06728506	38.76248886	0.6042735	0.62628205	7.77884469	5.97106437	2.46661104	155.8374349	159.133119	-410.022393	910.432781	30.6501	1.416263	0.086746	-0.187232	56.226743	-144.873827	-23.374666	0.201739	2.896481	163.48059	189.850909
molecule240	-153.702966	267.212523	-691.6288627	-4.93769628	0.59316839	-0.01954583	-0.01954583	906.9437141	1789.398	0	1.5798	51.842621	6.879009	4.078025	56	7.408163	4.726563	6.667433	4.610156	2.58106	3.093069	0.773267	147.206711	575.006409	0.759354	198.564439	559.8294413	60.23380209	39.42602453	52.05321182	0.6775266	0.64134615	9.22594154	6.30733563	1.38908073	210.9886832	109.500403	-399.435569	1666.543	52.250389	2.773383	0.114363	-0.104392	50.028702	-182.494698	-21.790768	0.157876	1.387096	107.326667	349.554774
molecule241	-142.098087	183.304018	-461.5819882	-3.32620375	0.88733469	-0.01885089	-0.01885089	643.9621261	1197.735	1	0.2451	32.980595	4.263605	3.066832	34	4.467106	5.461282	4.163902	3.001381	1.858167	2.947703	0.929897	75.058647	215.824158	0.47162	133.2723618	153.1846139	44.63295161	24.74710232	39.01563886	0.69584736	0.69586895	6.58902194	5.39745978	0.71570107	141.8213344	73.748763	-188.737835	869.857997	42.864858	2.004039	0.12612	-0.111015	25.065265	-64.147026	-12.823755	0.255822	3.727809	99.609912	240.263787
molecule243	-250.749797	268.781159	-804.0317682	-5.02623465	1.42680804	-0.02596214	-0.02596214	842.5433478	1822.201	2	-0.3376	50.646919	6.262514	4.528704	64	6.624661	3.066	7.084081	4.647623	2.839275	2.706891	0.676723	186.117294	636.94751	-1.581042	203.6238462	323.6719926	58.69306439	44.17859974	45.22336402	0.70580808	0.69333333	9.59268941	6.52506643	5.26173151	220.6018401	110.256578	-472.669951	1832.986	56.813732	3.181461	0.132874	-0.144956	47.143041	-202.102219	-26.500963	0.164777	3.848844	148.170412	279.405359
molecule246	-273.65657	276.702527	-1032.731	-4.85958113	2.19394036	-0.029272	-0.029272	911.650452	1816.237	0	0.5771	51.611725	7.01017	3.818701	58	7.122089	6.007521	6.575827	6.340998	4.464025	2.985228	0.764093	160	582.373779	0.437469	206.0950718	566.6312445	66.73130619	38.03489446	52.69212338	0.67222222	0.62926136	8.89652118	6.35988311	3.04312242	218.30664	94.627556	-334.678738	1651.044	50.516691	2.820055	0.108222	-0.089307	44.170915	-156.223691	-19.459036	0.157657	0.979754	97.284344	369.502677
molecule248	-241.293483	201.563863	-687.2896632	-3.79973775	2.33318676	-0.05029883	-0.05029883	671.9765867	1351.233	5	-1.2528	36.360802	2.666012	2.540779	60	3.249571	1.478124	5.547859	3.52943	2.777234	3.251629	0.907019	186.117294	360.545227	-1.358865	152.9804006	167.5359669	43.73835114	36.34725461	37.33498079	0.67676768	0.6584022	8.3047081	6.46707106	4.04179275	163.9135145	115.775892	-416.121711	1237.316	51.830838	2.385434	0.15056	-0.2009	39.856245	-143.251314	-23.808791	0.184686	3.720227	227.362005	116.891396
molecule249	-442.284271	357.159068	-1298.12	-7.21313915	2.36437466	-0.06441832	-0.06441832	1104.684	2521.269	8	-2.977	68.336716	6.267663	1.967969	118	7.630403	3.646723	10.810966	7.079026	5.526831	2.757075	0.60133	429.049805	1717.878	-1.345016	286.3402815	593.9261077	77.35822406	48.09683302	71.68384696	0.63080808	0.58380952	8.65524978	8.80926403	5.34397784	311.5299472	187.291475	-1240.9	3463.148	77.004711	4.251563	0.147324	-0.227361	97.895324	-648.605472	-62.116095	0.101049	2.143748	333.305252	189.384444
molecule253	-144.529526	160.86117	-535.5679271	-3.22930935	1.72995392	-0.02864608	-0.02864608	569.9320521	1085.636	2	-1.1112	31.383396	1.417148	1.959536	54	2.165579	0.88142	4.787694	3.381649	2.730593	1.921928	0.555562	160	227.800461	0.568241	124.9985485	105.3571128	36.99912739	27.36698581	33.95350941	0.69117647	0.70555556	6.76457204	5.85325838	3.9827655	130.5352497	74.145138	-172.276228	702.440005	33.946173	1.753595	0.112282	-0.145076	22.41627	-52.084203	-13.260435	0.281859	6.946031	141.2281	161.101499
molecule254	-61.917622	134.745138	-490.1218635	-2.34515187	5.7834916	-0.06269162	-0.06269162	521.1383056	916.0102858	2	0.7922	26.444601	1.372628	2.621352	42	2.039869	1.409895	4.181541	2.252872	1.515413	2.503258	0.698266	110.039101	181.822571	-0.147083	100.7086337	82.21291571	38.25258184	22.22742402	22.617767	0.69230769	0.66962306	7.64413581	4.20011888	5.38641221	104.6072375	154.995719	-360.582041	647.100925	36.808659	1.030067	0.132331	-0.244777	43.11291	-100.297873	-18.938526	0.263884	8.14296	236.700441	41.455046
